Location,Data,Goal,Coordinates,Title,Category,Data category
"Southeast Queensland, Australia",Underwater camera data,Evaluating fish use of mangroves in restoration,"-27.4698, 153.0251",Fish use of restored mangroves matches that in natural mangroves regardless of forest age,Habitat degradation and biodiversity monitoring,Ground-level photographs
USA,Airborne lidar data,High-resolution forest aboveground biomass mapping,"37.09024, -95.71289","High-resolution forest carbon mapping for climate mitigation baselines over the RGGI region, USA",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Forest fire detection,Not specified,A Small Target Forest Fire Detection Model Based on YOLOv5 Improvement,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,Sentinel-2 imagery,Forest stand delineation,Not specified,Forest stand segmentation with multi-temporal Sentinel-2 imagery and superpixels,Forest cover assessment,Satellite imagery or LiDAR
Sweden,ALS data,Tree species classification,"61. Scandinavia, 18.63492",COMPARISON OF SINGLE TREE SPECIES CLASSIFICATION USING VERY DENSE ALS DATA OR DUAL-WAVE ALS DATA,Tree species classification,LiDAR
Not specified,UAV remote sensing images,Identifying pine tree disease,Not specified,Clusterformer for Pine Tree Disease Identification Based on UAV Remote Sensing Image Segmentation,Tree species classification,Drone imagery
Not specified,UAV-based multispectral images and LiDAR point clouds,Tree species classification,Not specified,Urban Tree Species Classification Using UAV-Based Multispectral Images and LiDAR Point Clouds,Tree species classification,Satellite imagery or LiDAR
"Dresden, Salzburg, Szeged, Vienna",In situ measured tree physiognomy traits,Identifying tree traits for cooling urban heat islands,"48.20639, 16.37382",Identifying Tree Traits for Cooling Urban Heat Islands-A Cross-City Empirical Analysis,Tree species classification,Animal or plant data
Not specified,Remote sensing data,Estimating aboveground biomass,"0, 0",Mapping the Global Mangrove Forest Aboveground Biomass Using Multisource Remote Sensing Data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Satellite imagery,Tree cover segmentation,Not specified,The Impacts of Quality-Oriented Dataset Labeling on Tree Cover Segmentation Using U-Net: A Case Study in WorldView-3 Imagery,Forest cover assessment,Satellite imagery
Dongjak-gu,Aerial images,Tree detection,"37.48409, 126.95686",Detection of Urban Trees Using YOLOv5 from Aerial Images,Tree species classification,Drone imagery
Brazil,Remote sensing data,Mapping tree species diversity,"3.46533, -62.21588",Giants of the Amazon: How does environmental variation drive the diversity patterns of large trees?,Tree species classification,Satellite imagery or LiDAR
"Kibale National Park, Uganda",Camera traps,Distinguishing elephant phenotypes,"0.32885, 30.39412","Phenotypical characterization of African savannah and forest elephants, with special emphasis on hybrids: the case of Kibale National Park, Uganda",Habitat degradation and biodiversity monitoring,Ground-level photographs
Not specified,Remote sensing data,Tree species classification,"30.65724, 104.06595",Bilinear Squeeze-and-Excitation Network for Fine-Grained Classification of Tree Species,Tree species classification,Satellite imagery or LiDAR
Brazil,Remote sensing data,Evaluating public management tools and legislation evolution,"-15.7801, -47.9292","Fire in highland grasslands in the Atlantic Forest Biome, a burned areas time series analysis and its correlation with the legislation",Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,UAV images,Counting oil palm trees,Not specified,Automatic detection of individual oil palm trees from UAV images using HOG features and an SVM classifier,Tree species classification,Drone imagery
Not specified,Multispectral drone imagery,Detecting trees affected by pine wilt disease,Not specified,Multichannel Object Detection for Detecting Suspected Trees With Pine Wilt Disease Using Multispectral Drone Imagery,Tree species classification,Drone imagery
Brazil,Satellite imagery,Mapping burned areas,"-14.2350, -51.9253",Burned area estimations derived from Landsat ETM plus and OLI data: Comparing Genetic Programming with Maximum Likelihood and Classification and Regression Trees,Forest fire monitoring and prevention,Satellite imagery
South Africa,Remote sensing data,Monitoring forest health,"-30.5595, 22.9375",Remote sensing of forest health and vitality: a South African perspective,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Similipal biosphere reserve,Digital hemispherical photographs and Sentinel-2 multi-spectral imagery,Mapping leaf area index,"20.46985, 85.36500",Digital hemispherical photographs and Sentinel-2 multi-spectral imagery for mapping leaf area index at regional scale over a tropical deciduous forest,Canopy and biomass estimation,Drone imagery
China,Remote sensing data,Estimating forest age,"35.86166, 104.195397",A 2020 forest age map for China with 30 m resolution,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Remote sensing data,Mapping forest ecosystem stability,"-3.4653, -62.2159",Mapping Forest Stability within Major Biomes Using Canopy Indices Derived from MODIS Time Series,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"Nainital district, Kumaun Himalaya",Species occurrence records,Assessing the spatial distribution of invasive species,"29.3659, 79.5076",Ecological status and spatial extent of non-native shrubs Lantana camara L. and Ageratina adenophora Sprengel in the forest communities of western Himalaya,Habitat degradation and biodiversity monitoring,Animal or plant data
Chile,Satellite imagery,Monitoring land surface phenology,"-38.63432, -71.57356",Assessing land surface phenology in Araucaria-Nothofagus forests in Chile with Landsat 8/Sentinel-2 time series,Forest cover assessment,Satellite imagery
United States,High spatial resolution satellite imagery,Mapping severe forest disturbances,"37.09024, -95.71289",Astrape: A System for Mapping Severe Abiotic Forest Disturbances Using High Spatial Resolution Satellite Imagery and Unsupervised Classification,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"California, USA",Passive microwave remote sensing data,Estimating tree mortality,"37.77493, -119.41942",Satellite-based vegetation optical depth as an indicator of drought-driven tree mortality,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Southern China,Remote sensing time-series images,Forest-type classification,"23.12911, 113.76328",Forest-Type Classification Using Time-Weighted Dynamic Time Warping Analysis in Mountain Areas: A Case Study in Southern China,Tree species classification,Satellite imagery or LiDAR
Not specified,Satellite imagery,Global forest cover mapping,"0, 0",Gobal Forest Cover Mapping using Landsat and Google Earth Engine cloud computing,Forest cover assessment,Satellite imagery
Western Scotland,Remote sensing data,Estimating woodland expansion,"55.86515, -4.25143",Microclimates hold the key to spatial forest planning under climate change: Cyanolichens in temperate rainforest,Forest cover assessment,Satellite imagery or LiDAR
California's Sierra Nevada,Landsat-based ET data,Assessing forest vulnerability to multi-year drought,"37.40426, -119.57421",Assessing multi-year-drought vulnerability in dense Mediterranean-climate forests using water-balance-based indicators,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,Lidar,Detecting and describing structural changes from moderate forest disturbances,Not specified,Application of multidimensional structural characterization to detect and describe moderate forest disturbance,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Amazon,Satellite images,Estimating land use and land cover trends,"-3.46531, -62.21588",Environmental conservation policy can bend the trend of future forest losses in the oriental Amazon,Forest cover assessment,Satellite imagery
Australia,In-situ eddy covariance data,Estimating biomass recovery post-wildfire,"-25.274398, 133.775136",Rapid recovery of net ecosystem production in a semi-arid woodland after a wildfire,Canopy and biomass estimation,Sensor data
Western Ghats,Remote sensing data,Invasive species mapping,"10.4271, 76.6955","Testing the efficacy of hyperspectral (AVIRIS-NG), multispectral (Sentinel-2) and radar (Sentinel-1) remote sensing images to detect native and invasive non-native trees",Tree species classification,Satellite imagery or LiDAR
"Jinan, China",Street view images,Establishing a citywide street tree inventory,"36.66444, 117.00092",Establishing a citywide street tree inventory with street view images and computer vision techniques,Tree species classification,Ground-level photographs
Ghana,Satellite images,Modeling the relationship between core forest patches and land uses,"5.614818, -0.205000",Land Use and Landscape Characteristics Are Associated with Core Forest Patches in Ghana,Forest cover assessment,Satellite imagery
Australia,Remote sensing data,Mapping floodplain forest condition,"-35.48218, 145.18483",Assessment of ecosystems: A system for rigorous and rapid mapping of floodplain forest condition for Australia's most important river,Forest cover assessment,Satellite imagery or LiDAR
"Gujarat State, India",High-resolution satellite data,Assessing wildfire susceptibility,"21.3133, 72.5787","Assessment of forest fire severity and land surface temperature using Google Earth Engine: a case study of Gujarat State, India",Forest fire monitoring and prevention,Satellite imagery or LiDAR
Greece,Satellite data,Assessing the impact of dams on riparian forest,"40.64006, 22.94432",Assessing the impact of dams on riparian and deltaic vegetation using remotely-sensed vegetation indices and Random Forests modelling,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,"UAV LiDAR, UAV multispectral",Leaf area index inversion,Not specified,Multiscale Inversion of Leaf Area Index in Citrus Tree by Merging UAV LiDAR with Multispectral Remote Sensing Data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Deforestation monitoring,"-3.46537, -62.21588",ADVANCEMENTS IN GLOBAL FOREST MONITORING RESEARCH FOUNDED ON ALOS-2 LONG-TERM PANTROPICAL LAND OBSERVATION,Forest cover assessment,Satellite imagery or LiDAR
Not specified,UAV RGB imagery,Individual tree detection,Not specified,Tree-Level Chinese Fir Detection Using UAV RGB Imagery and YOLO-DCAM,Tree species classification,Drone imagery
Not specified,Hyperspectral and LiDAR data,Joint classification of multi-source remote sensing data,"29.7604, -95.3698",Joint Classification of Hyperspectral and LiDAR Data Using Binary-Tree Transformer Network,Tree species classification,Satellite imagery or LiDAR
Jeju Island,Optical and radar satellite images,Estimating forest aboveground biomass,"33.50971, 126.49161",Mapping Forest Vertical Structure in Jeju Island from Optical and Radar Satellite Images Using Artificial Neural Network,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,High-resolution remote sensing imagery,Tree detection,Not specified,YOLOv4-Lite-Based Urban Plantation Tree Detection and Positioning With High-Resolution Remote Sensing Imagery,Tree species classification,Satellite imagery or LiDAR
Not specified,UAV laser scanning point clouds,Individual tree segmentation,Not specified,Hierarchical Instance Recognition of Individual Roadside Trees in Environmentally Complex Urban Areas from UAV Laser Scanning Point Clouds,Tree species classification,Sensor data
Madagascar,Multi-spectral satellite data,Clove bud yield estimation,"-18.766947, 46.869107",Automated detection of individual clove trees for yield quantification in northeastern Madagascar based on multi-spectral satellite data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Landsat data,Mapping forest cover fractions,Not specified,A generalized regression-based unmixing model for mapping forest cover fractions throughout three decades of Landsat data,Forest cover assessment,Satellite imagery or LiDAR
Indonesia,Remote sensing satellite data,Identifying priority areas for mangrove rehabilitation,"-6.200000, 106.845000",Water Quality Modeling in Mangrove Forest Area Due to Anthropogenic Waste as a Prevention of Global Warming Utilizing Remote Sensing Satellite Data,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Algeria,Google Earth Engine,Monitoring forest cover loss,"36.75278, 3.20667",A cloud-integrated GIS for forest cover loss and land use change monitoring using statistical methods and geospatial technology over northern Algeria,Forest cover assessment,Satellite imagery or LiDAR
Global,Remote sensing data,Estimating tree cooling efficiency,"20.593684, 78.962881",Satellite-based evidence highlights a considerable increase of urban tree cooling benefits from 2000 to 2015,Tree species classification,Satellite imagery or LiDAR
Not specified,Aerial imagery,Individual tree crown segmentation,Not specified,Individual tree crown segmentation based on aerial image using superpixel and topological features,Tree species classification,Drone imagery
Northeastern U.S.,Remote sensing data,Minimizing systematic error in species abundance prediction,"45.0, -67.0",Multi-Objective Support Vector Regression Reduces Systematic Error in Moderate Resolution Maps of Tree Species Abundance,Tree species classification,Satellite imagery or LiDAR
China,Remote sensing data,Modeling distribution of lacquer trees,"35.86166, 104.1954",Environmental drivers of the current and future distribution of high-yielding lacquer trees (Toxicodendron vernicifluum (stokes) F. A. Barkley),Tree species classification,Satellite imagery or LiDAR
Oregon,Landsat,Investigating factors influencing fire severity,"43.804133, -120.554201",Severe fire weather and intensive forest management increase fire severity in a multi-ownership landscape,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Northern China,Remote sensing data,Analyzing burn severity,"40.0, 115.0",Relationships between Burn Severity and Environmental Drivers in the Temperate Coniferous Forest of Northern China,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,TLS data,Tree species classification,Not specified,ForestSemantic: a dataset for semantic learning of forest from close-range sensing,Tree species classification,Sensor data
Qilian Mountains,Multi-source remote sensing data,Characterizing forest cover and landscape patterns,"38.5375, 100.2625",Characterizing Forest Cover and Landscape Pattern Using Multi-Source Remote Sensing Data with Ensemble Learning,Forest cover assessment,Satellite imagery or LiDAR
Not specified,UAV-based RGB imagery,Mapping tree seedlings,Not specified,Unsupervised Methodology for Large-Scale Tree Seedling Mapping in Diverse Forestry Settings Using UAV-Based RGB Imagery,Tree species classification,Drone imagery
Not specified,UAV images,Individual tree detection,Not specified,Potential evaluation of visible-thermal UAV image fusion for individual tree detection based on convolutional neural network,Tree species classification,Drone imagery
China,Drone LiDAR,Estimating forest aboveground biomass,"35.86166, 104.1954",Allometry-based estimation of forest aboveground biomass combining LiDAR canopy height attributes and optical spectral indexes,Canopy and biomass estimation,Satellite imagery or LiDAR
"Sabah, Malaysia",Hyperspectral imaging and LiDAR,Assessing liana infestation,"5.9804, 116.0735",Remote sensing liana infestation in an aseasonal tropical forest: addressing mismatch in spatial units of analyses,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"Jiangning District, Nanjing, Eastern China",Remote sensing data,Estimating carbon storage dynamics,"31.97969, 118.80077","Assessing Forest-Change-Induced Carbon Storage Dynamics by Integrating GF-1 Image and Localized Allometric Growth Equations in Jiangning District, Nanjing, Eastern China (2017-2020)",Canopy and biomass estimation,Satellite imagery or LiDAR
Southern Italy,UAV high resolution RGB images and LiDAR data,Estimating above ground biomass,"40.8518, 14.2681",Above ground biomass estimation from UAV high resolution RGB images and LiDAR data in a pine forest in Southern Italy,Canopy and biomass estimation,Satellite imagery or LiDAR
Eastern Ghats,Remote sensing data,Estimating aboveground biomass,"17.6799, 82.9653",Estimating Aboveground Biomass of a Regional Forest Landscape by Integrating Textural and Spectral Variables of Sentinel-2 Along with Ancillary Data,Canopy and biomass estimation,Satellite imagery or LiDAR
Malaysia,LiDAR,Analyzing canopy height patterns,"4.2105, 101.9758",Analyzing Canopy Height Patterns and Environmental Landscape Drivers in Tropical Forests Using NASA's GEDI Spaceborne LiDAR,Canopy and biomass estimation,Satellite imagery or LiDAR
New Zealand,Satellite imagery,Forest mapping,"-39.000000, 175.000000",Indigenous forest classification in New Zealand-A comparison of classifiers and sensors,Tree species classification,Satellite imagery
Suriname,Sentinel-1 and Sentinel-2 data,Monitoring direct drivers of small-scale tropical forest disturbance,"4.08099, -55.16017",Monitoring direct drivers of small-scale tropical forest disturbance in near real-time with Sentinel-1 and-2 data,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Arxan,Remote sensing data,Forest health assessment,"40.54945, 119.88823",Health assessment of natural larch forest in arxan guided by forestry remote sensing integrated with canopy feature analysis,Canopy and biomass estimation,Satellite imagery or LiDAR
"Hokkaido, Japan",Tree height data,Predicting optimum seed sources for height growth,"43.06417, 141.34694","Ten Years of Provenance Trials and Application of Multivariate Random Forests Predicted the Most Preferable Seed Source for Silviculture of Abies sachalinensis in Hokkaido, Japan",Tree species classification,Animal or plant data
Hong Kong,Airborne LiDAR data,Biodiversity monitoring,"22.396428, 114.109497",Community-based plant diversity monitoring of a dense-canopy and species-rich tropical forest using airborne LiDAR data,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Southeastern Australia,UAV multispectral imagery,Mapping nitrogen for foraging habitat,"-27.0000, 151.0000",Mapping canopy nitrogen-scapes to assess foraging habitat for a vulnerable arboreal folivore in mixed-species Eucalyptus forests,Canopy and biomass estimation,Drone imagery
Germany,Remote sensing data,Assessing forest stand productivity,"51.1657, 10.4515",Forest stand productivity derived from site conditions: an assessment of old Douglas-fir stands (Pseudotsuga menziesii (Mirb.) Franco var. menziesii) in Central Europe,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Remote sensing images,Forest flame segmentation,Not specified,FlameTransNet: Advancing Forest Flame Segmentation with Fusion and Augmentation Techniques,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Poland,Airborne remote sensing data,Monitoring secondary succession,"52.0667, 19.3036",The Methodology for Identifying Secondary Succession in Non-Forest Natura 2000 Habitats Using Multi-Source Airborne Remote Sensing Data,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"Guizhou, China",Multi-source remote sensing data,Estimating forest aboveground biomass,"26.64496, 106.63693",Estimation of Forest Aboveground Biomass in Karst Areas Using Multi-Source Remote Sensing Data and the K-DBN Algorithm,Canopy and biomass estimation,Satellite imagery or LiDAR
Malaysia,Terrestrial laser scanning data,Quantifying forest disturbances,"4.2105, 101.9758",Quantifying tropical forest disturbances using canopy structural traits derived from terrestrial laser scanning,Habitat degradation and biodiversity monitoring,LiDAR
Not specified,Remote sensing data,Estimating soil carbon stocks,"0.00000, 0.00000",A global map of mangrove forest soil carbon at 30 m spatial resolution,Canopy and biomass estimation,Satellite imagery or LiDAR
"Uttarakhand, India",Satellite imagery,Estimating leaf area index,"29.39845, 79.51148","Estimation of leaf area index using PROSAIL based LUT inversion, MLRA-GPR and empirical models: Case study of tropical deciduous forest plantation, North India",Canopy and biomass estimation,Satellite imagery
Northern Japan,Remote sensing data,Risk assessment of forest disturbance by typhoons,"40.82444, 140.73588",Risk assessment of forest disturbance by typhoons with heavy precipitation in northern Japan,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Borneo,Remote sensing data,Predicting future forest loss risk,"4.9021, 114.4973",Multiple-scale prediction of forest loss risk across Borneo,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
China,Remote sensing images,Forest type identification,"25.17183, 104.06831",Superpixel-Based Style Transfer Method for Single-Temporal Remote Sensing Image Identification in Forest Type Groups,Tree species classification,Satellite imagery or LiDAR
"Sao Paulo State, Southeast Brazil",Remote sensing data,Mapping forest plantations,"-23.55052, -46.63331","Mapping and Monitoring Forest Plantations in Sao Paulo State, Southeast Brazil, Using Fraction Images Derived from Multiannual Landsat Sensor Images",Forest cover assessment,Satellite imagery or LiDAR
Not specified,Airborne LiDAR data,Estimating above-ground biomass,"0.000000, 0.000000",Biomass Estimation and Uncertainty Quantification From Tree Height,Canopy and biomass estimation,Satellite imagery or LiDAR
South Korea,Remote sensing data,Estimating forest carbon uptake,"35.9078, 127.7669","Evaluation of forest carbon uptake in South Korea using the national flux tower network, remote sensing, and data-driven technology",Canopy and biomass estimation,Satellite imagery or LiDAR
"Gansu Province, China",Multispectral WorldView-2 images,Detecting damage stages of Populus gansuensis by Asian longhorned beetle,"40.56302, 100.14568",Combining WV-2 images and tree physiological factors to detect damage stages of Populus gansuensis by Asian longhorned beetle (Anoplophora glabripennis) at the tree level,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
"Northwestern Liaoning, China",Remote sensing data,Mapping coniferous forest distribution,"41.11385, 121.67716","Mapping Coniferous Forest Distribution in a Semi-Arid Area Based on Multi-Classifier Fusion and Google Earth Engine Combining Gaofen-1 and Sentinel-1 Data: A Case Study in Northwestern Liaoning, China",Tree species classification,Satellite imagery or LiDAR
Indonesia,L-band radar data,Estimating tree circumference,"-6.200000, 106.845599",On the relationship between the circumference of rubber trees and L-band waves,Tree species classification,Sensor data
British Columbia,Aerial Laser Scanning,Conserving old-growth structural attributes and ecosystem services,"53.7267, -127.6476",Managing forests for old-growth attributes better promotes the provision of ecosystem services than current age-based old-growth management,Habitat degradation and biodiversity monitoring,LiDAR
Bangladesh,Landsat satellite images,Modeling forest cover dynamics,"22.62811, 90.35351",Modeling forest cover dynamics in Bangladesh using multilayer perceptron neural network with Markov chain,Forest cover assessment,Satellite imagery or LiDAR
Baishuijiang National Nature Reserve,Remote sensing images,Vegetation type classification,"34.16895, 102.12628",Vegetation Type Classification Based on 3D Convolutional Neural Network Model: A Case Study of Baishuijiang National Nature Reserve,Tree species classification,Satellite imagery or LiDAR
Not specified,Synthetic aperture radar (SAR) images,Image despeckling in forest analysis,Not specified,Convolutional Neural Network with a Learnable Spatial Activation Function for SAR Image Despeckling and Forest Image Analysis,Canopy and biomass estimation,Satellite imagery or LiDAR
"San Diego, California",Low-resolution satellite images,Quantifying ecosystem services,"32.715736, -117.161087",Quantifying ecosystem services from trees by using i-tree with low-resolution satellite images,Canopy and biomass estimation,Satellite imagery or LiDAR
NW Spain,LiDAR and Landsat,Identifying environmental factors driving fire severity,"43.2630, -7.4971",Environmental drivers of fire severity in extreme fire events that affect Mediterranean pine forest ecosystems,Forest fire monitoring and prevention,Satellite imagery or LiDAR
New England,Remotely sensed imagery,Forest plot composition and individual tree identification,"42.4072, -71.3824",A Comparison of Methods for Determining Forest Composition from High-Spatial-Resolution Remotely Sensed Imagery,Tree species classification,Satellite imagery or LiDAR
Not specified,Landsat imagery,Estimating aboveground biomass,Not specified,Diagnosing pristine pine forest development through pansharpened-surface-reflectance Landsat image derived aboveground biomass productivity,Canopy and biomass estimation,Satellite imagery or LiDAR
"Hainan, China",UAV multispectral and LiDAR data,Estimating alpha-diversity indices,"19.1808, 109.4255",Modelling of the biodiversity of tropical forests in China based on unmanned aerial vehicle multispectral and light detection and ranging data,Habitat degradation and biodiversity monitoring,Drone imagery
Western Australia,Remote sensing data,Mapping fire severity," -31.9505, 115.8605",Regional-scale fire severity mapping of Eucalyptus forests with the Landsat archive,Forest fire monitoring and prevention,Satellite imagery or LiDAR
China,Satellite remote-sensing data,Investigating forest productivity decline,"35.86166, 104.195397",Soil Moisture Dominates the Forest Productivity Decline During the 2022 China Compound Drought-Heatwave Event,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,"LiDAR data, image-derived points",Individual tree crown segmentation,Not specified,Study on Individual Tree Segmentation of Different Tree Species Using Different Segmentation Algorithms Based on 3D UAV Data,Tree species classification,Drone imagery
China,Remote sensing data,Mapping forest growing stem volume,"30.594149, 114.305393",Mapping Forest Growing Stem Volume Using Novel Feature Evaluation Criteria Based on Spectral Saturation in Planted Chinese Fir Forest,Canopy and biomass estimation,Satellite imagery or LiDAR
Czech Republic,Remote sensing data,Assessing forest decline,"49.8175, 15.4730",Discrimination between acute and chronic decline of Central European forests using map algebra of the growth condition and forest biomass fuzzy sets: A case study,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,Satellite-based proxies for productivity,Evaluating the relationship between terrestrial photosynthesis and water availability,Not specified,Satellite Observations of the Contrasting Response of Trees and Grasses to Variations in Water Availability,Canopy and biomass estimation,Satellite imagery or LiDAR
Southeastern United States,Landsat time series data,Detecting active forest management,"32.80653, -86.79113",Mapping thins to identify active forest management in southern pine plantations using Landsat time series stacks,Forest cover assessment,Satellite imagery or LiDAR
Colombia,Lidar,Estimating biomass,"6.67159, -77.8232",Forest degradation and biomass loss along the Choco region of Colombia,Canopy and biomass estimation,Satellite imagery or LiDAR
Thailand,Drone RGB imagery,Quantifying forest degradation and restoration indicators,"18.78834, 98.98528",Use of Drone RGB Imagery to Quantify Indicator Variables of Tropical-Forest-Ecosystem Degradation and Restoration,Habitat degradation and biodiversity monitoring,Drone imagery
"Changping District, Beijing",UAV images,Tree species classification,"40.20739, 116.18924",Multispecies individual tree crown extraction and classification based on BlendMask and high-resolution UAV images,Tree species classification,Drone imagery
Southeast Asia,Planet and Sentinel-1 imagery,Mapping tropical forest cover,"10.1600, 104.0909",Improved Fine-Scale Tropical Forest Cover Mapping for Southeast Asia Using Planet-NICFI and Sentinel-1 Imagery,Forest cover assessment,Satellite imagery or LiDAR
Tenerife,Satellite imagery,Mapping chestnut trees,"28.3922, -16.5268",Multitemporal World View satellites imagery for mapping chestnut trees,Tree species classification,Satellite imagery
China,ICESat-2/ATLAS data,Estimating forest canopy height,"35.86166, 104.1954",A Rapid and Easy Way for National Forest Heights Retrieval in China Using ICESat-2/ATL08 in 2019,Canopy and biomass estimation,Satellite imagery or LiDAR
China,Remote sensing data,Assessing ecological sensitivity,"22.00000, 100.00000","Spatiotemporal evolution of tropical forest degradation and its impact on ecological sensitivity: A case study in Jinghong, Xishuangbanna, China",Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,Stable water isotope labelling,Understanding hydraulic redistribution in tree saplings,Not specified,Friendly neighbours: Hydraulic redistribution accounts for one quarter of water used by neighbouring drought stressed tree saplings,Tree species classification,Experimental data
Northeast China,Remote sensing images,Estimating aboveground biomass,"43.64261, 122.13328","Estimating the aboveground biomass of coniferous forest in Northeast China using spectral variables, land surface temperature and soil moisture",Canopy and biomass estimation,Satellite imagery or LiDAR
"Sao Paulo state, Brazil",Field trials data,Evaluating fungicide spray volumes for citrus black spot control,"-23.55052, -46.63331",Spray volume and fungicide rates for citrus black spot control based on tree canopy volume,Canopy and biomass estimation,Experimental data
Not specified,Satellite imagery,Mapping plant diversity,"23.6345, -102.5528",Mapping Plant Diversity Based on Combined SENTINEL-1/2 Data-Opportunities for Subtropical Mountainous Forests,Habitat degradation and biodiversity monitoring,Satellite imagery
Brazil,Remote sensing data,Native vegetation mapping,"-15.0000, -47.9292",Integrated Use of Synthetic Aperture Radar and Optical Data in Mapping Native Vegetation: A Study in a Transitional Brazilian Cerrado-Atlantic Forest Interface,Forest cover assessment,Satellite imagery or LiDAR
Canada,Dendroecological and genetic data,Estimating carbon sequestration potential,"56.1304, -106.3468",Future carbon sequestration potential in a widespread transcontinental boreal tree species: Standing genetic variation matters!,Canopy and biomass estimation,Animal or plant data
Hong Kong,Time-series satellite imagery,Mapping mangrove zonation,"22.490198, 114.034290","Zonation and Directional Dynamics of Mangrove Forests Derived from Time-Series Satellite Imagery in Mai Po, Hong Kong",Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Türkiye,Remote sensing data,Estimating above-ground biomass,"39.9334, 32.8597","Modeling potential distribution and above-ground biomass of Scots pine (Pinus sylvestris L.) forests in the Inner Anatolian Region, Türkiye",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing imagery,Mapping growing stem volume,Not specified,A Combined Strategy of Improved Variable Selection and Ensemble Algorithm to Map the Growing Stem Volume of Planted Coniferous Forest,Canopy and biomass estimation,Satellite imagery or LiDAR
"Stolby Nature Reserve, Krasnoyarsk Territory",Very high resolution airborne images,Assessing forest damage,"56.19381, 89.41683",CLASSIFICATION AND ASSESSMENT OF THE STATE OF MIXED FORESTS FROM VERY HIGH SPATIAL RESOLUTION AIRBORNE IMAGES,Habitat degradation and biodiversity monitoring,Drone imagery
Not specified,Images,Pine cones detection,Not specified,EBE-YOLOv4: A lightweight detecting model for pine cones in forest,Tree species classification,Ground-level photographs
Guangzhou,Very high-spatial-resolution aerial images,Counting trees,"23.12911, 113.26436",Counting trees in a subtropical mega city using the instance segmentation method,Tree species classification,Drone imagery
Northeast China,Landsat time series,Assessing forest recovery post-megafire,"45.000000, 130.000000",Revealing post-megafire spectral and compositional recovery in the Siberian boreal forest using Landsat time series and regression-based unmixing approach,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Philippines,Sentinel imagery,Estimating above-ground biomass,"12.8797, 121.7740",Estimation and mapping of above-ground biomass of mangrove forests and their replacement land uses in the Philippines using Sentinel imagery,Canopy and biomass estimation,Satellite imagery or LiDAR
China,Remote sensing data,Estimating gross primary productivity,"35.86166, 104.1954","Evaluating gross primary productivity over 9 ChinaFlux sites based on ran- dom forest regression models, remote sensing, and eddy covariance data",Canopy and biomass estimation,Satellite imagery or LiDAR
Austria,Remote sensing data,Estimating forest structure parameters,"47.11628, 14.55007",Potential of Sentinel-1 C-Band Time Series to Derive Structural Parameters of Temperate Deciduous Forests,Canopy and biomass estimation,Satellite imagery or LiDAR
Nepal,Optical remote sensing images,Estimating forest aboveground biomass,"27.5291, 80.8154",A two-scale approach for estimating forest aboveground biomass with optical remote sensing images in a subtropical forest of Nepal,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Improving accuracy of aboveground biomass estimates,Not specified,A new strategy for improving the accuracy of forest aboveground biomass estimates in an alpine region based on multi-source remote sensing,Canopy and biomass estimation,Satellite imagery or LiDAR
"Guangxi province, China",Airborne hyperspectral remote sensing data,Tree species classification,"23.3241, 108.5705",Three-dimensional convolutional neural network model for tree species classification using airborne hyperspectral images,Tree species classification,Satellite imagery or LiDAR
