Location,Data,Goal,Coordinates,Title,Category
Not specified,Stereoscopic photogrammetry,Estimating tree diameter,Not specified,Rapid Tree Diameter Computation with Terrestrial Stereoscopic Photogrammetry,Tree species classification
Not specified,Not specified,Investigating fungal community diversity,"41.9028, 12.4964",Community fingerprinting reveals increasing wood-inhabiting fungal diversity in unmanaged Mediterranean forests,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Understanding the relationship between tree size and life history strategies in tropical forests,Not specified,Life history scaling in a tropical forest,Tree species classification
Not specified,Not specified,Assessing threats to Northern Spotted Owl habitats,Not specified,"Forest Management, Barred Owls, and Wildfire in Northern Spotted Owl Territories",Habitat degradation and biodiversity monitoring
Not specified,Not specified,Assessing the effect of canopy fire on carbon stocks,Not specified,Exposure to canopy fire reduces the biomass and stability of carbon stored in fire tolerant eucalypt forests,Canopy and biomass estimation
Not specified,Not specified,Estimating biomass,"35.65500, -82.36500","Equations for Estimating Biomass, Foliage Area, and Sapwood of Small Trees in the Southern Appalachians",Canopy and biomass estimation
China,Satellite images,Estimating carbon sequestration,"35.86166, 104.1954",Vegetation coverage and carbon sequestration changes in China?s forest projects area,Canopy and biomass estimation
Southwestern Ohio,Not specified,Examining the association of Amur honeysuckle with other invasive plant species,"39.98333, -82.78817","Association of non-native Amur honeysuckle (Lonicera maackii, Caprifoliaceae) with other invasive plant species in eastern deciduous forests in southwestern Ohio",Habitat degradation and biodiversity monitoring
Not specified,Not specified,Assessing the persistence and quality of vegetation cover in expired CRP fields,Not specified,Persistence and quality of vegetation cover in expired Conservation Reserve Program fields,Forest cover assessment
Not specified,Not specified,Identifying the spatial scale of predominant disturbances in forest development phases,"50.123456, 8.654321",Development phase convergence across scale in a primeval European beech (Fagus sylvatica L.) forest,Habitat degradation and biodiversity monitoring
China,Satellite remote sensing,Investigating leaf phenological diversity,"23.42899, 113.19449",Unraveling the drivers and impacts of leaf phenological diversity in a subtropical forest: A fine-scale analysis using PlanetScope CubeSats,Habitat degradation and biodiversity monitoring
Not specified,Forest Inventory and Analysis data,Enhancing forest management precision,"37.09024, -95.71289",United States Forest Service Use of Forest Inventory Data: Examples and Needs for Small Area Estimation,Forest cover assessment
Argentina,Not specified,Assessing population trends of pest birds across a forest cover gradient,"-26.00000, -58.00000",Population responses of pest birds across a forest cover gradient in the Chaco ecosystem,Habitat degradation and biodiversity monitoring
Not specified,Genetic data,Understanding genetic consequences of forest fragmentation,Not specified,Genetic consequences of forest fragmentation by agricultural land in an arboreal marsupial,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Quantifying the impacts of crown abrasion on stand dynamics,Not specified,"Branch Elongation, Bud Durability, and Wind-Generated Crown Movement Associated with Crown Abrasion in Deciduous Trees",Habitat degradation and biodiversity monitoring
China,Not specified,Understanding environmental determinants of plant diversity and forest structure,"30.5728, 104.0668",Variation in three community features across habitat types and scales within a 15-ha subtropical evergreen-deciduous broadleaved mixed forest dynamics plot in China,Habitat degradation and biodiversity monitoring
Ukraine,Not specified,Assessing survival time and mortality rate of juvenile trees,"48.379433, 31.16558",Survival time and mortality rate of regeneration in the deep shade of a primeval beech forest,Tree species classification
Northeast China,Not specified,Determining optimal competitor selection methods for tree growth modeling,"45.0, 128.0",Comparisons of competitor selection approaches for spatially explicit competition indices of natural spruce-fir-broadleaf mixed forests,Tree species classification
"Maine, USA",Not specified,Quantifying dispersal patterns,"45.25383, -69.44547","Initial Movements of a Dispersing Amphibian in Response to Partial Harvesting in the Acadian Forest of Maine, USA",Habitat degradation and biodiversity monitoring
"Bloomington, Indiana",Not specified,Assessing residential tree diversity and canopy structure,"39.1653, -86.5264","Operationalizing the social-ecological system framework to assess residential forest structure: a case study in Bloomington, Indiana",Tree species classification
Not specified,Not specified,Understanding beech dominance in primeval forests,Not specified,"Grow slowly, persist, dominate-Explaining beech dominance in a primeval forest",Habitat degradation and biodiversity monitoring
British Columbia,Not specified,Monitoring understory vegetation response,"53.7267, -127.6476","Understory vegetation response to alternative silvicultural systems in coastal British Columbia montane forests (vol 504, 119817, 2022)",Habitat degradation and biodiversity monitoring
Sao Paulo,Not specified,Evaluating urban parks and ecosystem services in relation to environmental management,"-23.550520, -46.633308","Urban Forests, Territorial Planning and Political Stability: Key Factors to Face Climate Change in a Megacity",Forest cover assessment
"Missouri, USA",Not specified,Evaluating deadwood movement,"38.4560, -92.2884",Direct estimates of downslope deadwood movement over 30 years in a temperature forest illustrate impacts of treefall on forest ecosystem dynamics,Habitat degradation and biodiversity monitoring
European part of Russia,Not specified,"Identifying relationships between vegetation, earthworms, and soil carbon stocks","55.7558, 37.6173","Linking Vegetation, Soil Carbon Stocks, and Earthworms in Upland Coniferous-Broadleaf Forests",Habitat degradation and biodiversity monitoring
Sweden,Not specified,Estimating carbon stocks,"62.39417, 15.15912",Indications that site preparation increases forest ecosystem carbon stocks in the long term,Canopy and biomass estimation
Romania,Satellite remote sensing,Assessing climate change impacts on forest vegetation,"45.748871, 21.208679",Carpathian mountain forest vegetation and its responses to climate stressors,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Investigating the effects of environmental change on female mating preferences,Not specified,Secondary compounds from exotic tree plantations change female mating preferences in the palmate newt (Lissotriton helveticus),Habitat degradation and biodiversity monitoring
China,Not specified,Exploring C:N:P stoichiometry,"35.86166, 104.195397",C:N:P stoichiometry in China's forests: From organs to ecosystems,Other
Texas,Observational surveys,Assessing foraging behavior and habitat use,"31.9686, -99.9018",Tree Species Use and Seasonal Response to Food Availability of Black-Capped Vireo,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Understanding large-tree growth responses to changes in competitive neighborhoods due to fire-caused mortality,Not specified,Fire-caused mortality within tree neighborhoods increases growth of Pinus lambertiana more than growth of Abies concolor,Canopy and biomass estimation
Romania,MODIS NDVI/EVI and LAI,Forest vegetation phenology,"45.123456, 25.123456",Forest land cover phenologies and their relation to climatic variables in a Carpathian Mountains region,Forest cover assessment
Brazil,Not specified,Monitoring biodiversity and habitat quality,"-14.2350, -51.9253",Atlantic Forest: centres of diversity and endemism for ferns and lycophytes and conservation status,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Early detection of non-native species acting as invasive,Not specified,Vegetation of a hill grassland of the Paititi Natural Reserve (Pampa biome) and early detection of non-native species acting as invasive,Habitat degradation and biodiversity monitoring
Alaska,Remote sensing data,Investigating the relationship between NDVI and forest structure during succession,"64.2008, -149.4937",Do recent NDVI trends demonstrate boreal forest decline in Alaska?,Habitat degradation and biodiversity monitoring
Central Iberia,Airborne laser scanning and dense image matching,Estimating forest structure variables,"39.00000, -4.00000",Testing the quality of forest variable estimation using dense image matching: a comparison with airborne laser scanning in a Mediterranean pine forest,Canopy and biomass estimation
Central India,Floristic and soil data,Assessing impacts of Lantana camara invasion,"22.5937, 78.9629",Invasive shrub Lantana camara L. alters the flora and soils in tropical dry deciduous forests of Central India,Habitat degradation and biodiversity monitoring
Central Argentina,Remote sensing data,Vegetation classification,"-31.3374, -64.1866",Native woody vegetation in central Argentina: Classification of Chaco and Espinal forests,Tree species classification
Southwest China,Infrared thermometry,Assessing plant water status,"25.0453, 102.6755","Canopy temperature variability in a tropical rainforest, subtropical evergreen forest, and savanna forest in Southwest China",Canopy and biomass estimation
"Campinas, Brazil",Landscape metrics,Assessing environmental quality of forest remnants,"-22.90556, -47.06083",Evaluating the Environmental Quality of Forest Remnants Using Landscape Metrics,Habitat degradation and biodiversity monitoring
Tunisia,Field surveys,Investigating range retraction due to climate change,"33.8869, 9.5375",Has North Africa turned too warm for a Mediterranean forest pest because of climate change?,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Species inventory,"19.51256, -104.40587",Species inventory of elaterids (Coleoptera: Elateridae) from a Mexican tropical dry forest,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Detecting termite damage in hoop pine trees,Not specified,DETECTION OF TERMITE DAMAGE IN HOOP PINE (ARAUCARIA CUNNINGHAMII) TREES USING NONDESTRUCTIVE EVALUATION TECHNIQUES,Habitat degradation and biodiversity monitoring
Iran,Landsat time series,Assessing mangrove forest dynamics,"32.4279, 53.6880","Assessment of Iran's Mangrove Forest Dynamics (1990-2020) Using Landsat Time Series(vol 15, 1430, 2022)",Forest cover assessment
Not specified,Not specified,Analyzing institutional changes to reduce forest overexploitation,Not specified,"Interactions among NGO, municipal government and users reduce the forest overexploitation, but does not stop it: A qualitative analysis on a community in the Bolivian Andes",Habitat degradation and biodiversity monitoring
Not specified, Not specified, Designing ecologically intensified plantations, Not specified,Moving towards the ecological intensification of tree plantations,Tree species classification
"Arunachal Pradesh, Northeast India",Not specified,Monitoring biodiversity and habitat quality,"27.10039, 93.60911","Plant diversity patterns and conservation status of eastern Himalayan forests in Arunachal Pradesh, Northeast India",Habitat degradation and biodiversity monitoring
Missouri,Camera trap data,Estimating biomass,"38.45609, -92.26259",Using Camera Traps to Assess Mammal and Bird Assemblages in a Midwestern Forest,Canopy and biomass estimation
Latin America and the Caribbean,Not specified,Monitoring forest cover change,"-10.0000, -60.0000","Global Economic and Diet Transitions Drive Latin American and Caribbean Forest Change during the First Decade of the Century: A Multi-Scale Analysis of Socioeconomic, Demographic, and Environmental Drivers of Local Forest Cover Change",Forest cover assessment
Kentucky,Not specified,Understanding leaf litter decomposition rates and fuelbed composition,"38.04058, -84.50014",Mesophication of upland oak forests: Implications of species-specific differences in leaf litter decomposition rates and fuelbed composition,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Monitoring biodiversity and habitat quality,Not specified,Montane Central Appalachian forests provide refuge for the critically endangered rusty patched bumble bee (Bombus affinis),Habitat degradation and biodiversity monitoring
Not specified,Forest inventory data,Estimating biomass,"51.1657, 10.4515",Long-term biomass dynamics of temperate forests in Europe after cessation of management,Canopy and biomass estimation
"Shenandoah Valley, Virginia, USA",Not specified,Comparing leaf-litter nutritional quality and decomposition rates,"38.48525, -78.52065",Exotic tree and shrub invasions alter leaf-litter microflora and arthropod communities,Habitat degradation and biodiversity monitoring
Central Portugal,Point count data,Investigating the relationship between birds and pest control services,"39.56216, -8.03559",Integrating local and ecological knowledge to assess the benefits of trees for ecosystem services: A holistic process-based methodology,Habitat degradation and biodiversity monitoring
Eastern Sayan Mountains,Dendrochronological data,Evaluating shifts in upper distribution limits of trees and shrubs,"51.5500, 92.5000",Dynamics of Tree and Shrub Vegetation in the Eastern Sayan Mountain Tundra,Tree species classification
Not specified,Not specified,Studying flower biology and ontogeny of the tung tree,Not specified,Flower biology and ontogeny of the tung tree (Vernicia fordiiHemsl.),Tree species classification
Krasnoyarsk,Not specified,Monitoring ecological state,"56.0154, 92.8934",Contemporary Ecological State of Pine Biogeocenoses of the Krasnoyarsk Forest Steppe,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Understanding the influence of silvicultural practices on the development of epidemics in forest plantations,Not specified,Short Rotations in Forest Plantations Accelerate Virulence Evolution in Root-Rot Pathogenic Fungi,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Estimating soil carbon stocks,Not specified,Unaccounted Factors Determining Carbon Stocks in Forest Soils,Canopy and biomass estimation
New York City,Not specified,Assessing the impacts of salt water flooding on tree health,"40.712776, -74.005974",Assessing the tree health impacts of salt water flooding in coastal cities: A case study in New York City,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Comparing abiotic edge effect in differently oriented edges,"-26.00000, -60.00000","Are all edges equal? Microclimatic conditions, geographical orientation and biological implications in a fragmented forest",Habitat degradation and biodiversity monitoring
Finland,Not specified,Analyzing impacts of sectoral policies on forest ecosystem services,"61.92411, 25.74815",Sectoral policies cause incoherence in forest management and ecosystem service provisioning,Habitat degradation and biodiversity monitoring
Sweden,Not specified,Assessing land-use change and ecosystem service provision,"60.12816, 18.64350","The effect of forest owner decision-making, climatic change and societal demands on land-use change and ecosystem service provision in Sweden",Habitat degradation and biodiversity monitoring
"Altai Mountains, Siberia",High-resolution satellite scenes,Understanding tree wave migration and its response to temperature increase,"49.5671, 87.4865","Tree wave migration across an elevation gradient in the Altai Mountains, Siberia",Tree species classification
North Texas,Air monitoring data,Examining the effects of atmospheric NOx on leaf tissue quality and herbivory in post oak,"32.7767, -96.7970",Urban development in the southern Great Plains: effects of atmospheric NOx on the long-lived post oak tree (Quercus stellata),Tree species classification
Not specified,Not specified,Optimizing forest management regimes,Not specified,"Production, tree size inequality and growth dominance in loblolly pine plantations under different silvicultural management regimes",Tree species classification
Not specified,USDA Forest Service Forest Inventory and Analysis data,Estimating tree mortality due to laurel wilt,"30.6954, -83.2022",No rest for the laurels: symbiotic invaders cause unprecedented damage to southern USA forests,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Improving growth and quality of forest trees,Not specified,Engineering Tree Seasonal Cycles of Growth Through Chromatin Modification,Tree species classification
Not specified,Not specified,Creating forest berry plantations on cutover peatlands,Not specified,OBTAINING HIGH-QUALITY PLANTING MATERIAL OF FOREST BERRY PLANTS BY CLONAL MICROPROPAGATION FOR RESTORATION OF CUTOVER PEATLANDS,Forest cover assessment
Brazil,Camera trap data,Investigating mammal defaunation,"-23.5505, -46.6333",Mammalian defaunation across the Devonian kniferidges and meridional plateaus of the Brazilian Atlantic Forest,Habitat degradation and biodiversity monitoring
Central India,Not specified,Biodiversity conservation,"22.9734, 78.6569","Tree diversity, biomass and carbon storage in sacred groves of Central India",Habitat degradation and biodiversity monitoring
Brazil,Not specified,Taxonomic classification of a new plant species,"-15.8252, -39.0633","Duguetia leucotricha (Annonaceae), a new species from the Atlantic Coastal Forest of Brazil",Tree species classification
Central Argentina,Not specified,Understanding the effects of edge and herbivory on leaf litter decomposability,"-38.4161, -63.6167",Edge and herbivory effects on leaf litter decomposability in a subtropical dry forest,Habitat degradation and biodiversity monitoring
Cameroon,Not specified,Assessing graft success of indigenous fruit trees,"3.84800, 11.50208",Amenability of priority indigenous fruit trees of West and Central Africa to grafting,Tree species classification
"Xishuangbanna, China",High spatial resolution imagery,Setting reference levels for REDD+,"21.3000, 101.6000","Framework for Accounting Reference Levels for REDD plus in Tropical Forests: Case Study from Xishuangbanna, China",Forest cover assessment
"Salt Lake Valley, Utah",Sociological and biological data,Analyzing urban tree composition and diversity,"40.76078, -111.89105","Biodiverse cities: the nursery industry, homeowners, and neighborhood differences drive urban tree composition",Tree species classification
Central Russia,Wood microsections,Examining wood density variation along trunk height,"56.1304, 105.3188",Wood Quality along the Trunk Height of Birch and Aspen Growing in the Restoring Forests of Central Russia,Tree species classification
Not specified,Not specified,Monitoring biodiversity and habitat quality,Not specified,Ecological and Soil Data Applied to Conservation Management of an Urban Forest,Habitat degradation and biodiversity monitoring
Not specified,Forest inventory data,Estimating wood production and carbon budgets,"47.35345, 9.15976",Calibration of the process-based model 3-PG for major central European tree species,Tree species classification
China,Remote sensing data,Enhancing carbon sequestration capacity,"35.86166, 104.1954",Study of spatialtemporal changes in Chinese forest eco-space and optimization strategies for enhancing carbon sequestration capacity through ecological spatial network theory,Canopy and biomass estimation
Sarawak,Not specified,Investigating land use policies and legislation to govern forest cover,"2.36846, 110.16269",Malaysia's Forest Pledges and The Bornean State of Sarawak: A Policy Perspective,Forest cover assessment
India,Not specified,Estimating biomass,"20.593684, 78.96288",Allometric equations for biomass and carbon stock estimation of small diameter woody species from tropical dry deciduous forests: Support to REDD+,Canopy and biomass estimation
Appalachian Mountains,GPS telemetry data,Investigating resource selection of bobcats,"37.41304, -80.01206",Influence of forest disturbance on bobcat resource selection in the central Appalachians,Habitat degradation and biodiversity monitoring
Russia,CO(2) emissions and soil respiration data,Evaluating long-term carbon balance,"58.1273, 32.7233",The Long-Term Effect of Ongoing Spruce Decay on Carbon Exchange in Taiga Forests,Canopy and biomass estimation
"Krasnoyarsk Krai, Russia",Sentinel-2 remote sensing data,Estimating tree mortality,"56.01512, 93.48017",Mapping Tree Mortality Caused by Siberian Silkmoth Outbreak Using Sentinel-2 Remote Sensing Data,Habitat degradation and biodiversity monitoring
Mexico,Drought vulnerability index,Evaluating forest vulnerability to drought,"23.6345, -102.5528",Drought and Vulnerability in Mexico's Forest Ecosystems,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Monitoring urban forest dynamics,Not specified,Isotopic composition (d13C and d15N) in the soil-plant system of subtropical urban forests,Habitat degradation and biodiversity monitoring
North Africa,Not specified,Expanding knowledge on critically endangered species,"33.8869, 9.5375",First report of the rare tooth fungus Hericium erinaceus in North African temperate forests,Habitat degradation and biodiversity monitoring
Not specified,Not specified,"Assessing water quality, habitat, and fish assemblage relationships","33.4255, -90.6839","Water quality, habitat, and fish assemblage relationships in middle-order agriculture and forest streams of the Mississippi Alluvial Plain",Habitat degradation and biodiversity monitoring
"Yecora, Sonora, Mexico",Not specified,Determining taxonomic richness,"30.8218, -109.5854","Pezizales (Ascomycota) associated with pine-oak forest in Yecora, Sonora, Mexico",Habitat degradation and biodiversity monitoring
Not specified,Not specified,Monitoring population demographics,"39.96118, -82.99879",Demography and space- use of Eastern Red- backed Salamanders (Plethodon cinereus) between mature and successional forests,Habitat degradation and biodiversity monitoring
Mediterranean regions,Not specified,Assessing impacts of beaver on riparian vegetation,"37.58645, 14.04453",Riparian forests throwback at the Eurasian beaver era: a woody vegetation assessment for Mediterranean regions,Habitat degradation and biodiversity monitoring
"New Brunswick, Canada",Not specified,Investigating the relationship between seedling density and songbird nest survival,"46.56537, -66.90168",Linking songbird nest predation to seedling density: Sugar maple masting as a resource pulse in a forest food web,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Estimating carbon storage,"-7.2111, 110.3594",Contribution of a forest rehabilitated with various schemes of agroforestry in storing carbon,Canopy and biomass estimation
Tunisia,DNA markers,Understanding population dynamics of Biscogniauxia mediterranea,"33.8869, 9.5375",Insights into haplotype distribution and population dynamics of Biscogniauxia mediterranea in cork oak forests in Tunisia,Habitat degradation and biodiversity monitoring
Costa Rica,Camera traps,Understanding natural dispersal mechanisms,"8.51542, -83.44773","The First Ex-Situ Germination and Dispersal Mechanisms of the Rare, Critically Endangered Tree, Pleodendron costaricense",Other
"Arunachal Pradesh, India",Not specified,Understanding phylogenetic diversity patterns,"27.5884, 93.7121",Phylogenetic diversity patterns in Himalayan forests reveal evidence for environmental filtering of distinct lineages,Habitat degradation and biodiversity monitoring
Vermont,Not specified,Evaluating growth rates for sustainable sap extraction,"44.04587, -72.71068",Growth Rates of Sugar Maple Trees Tapped for Maple Syrup Production Using High-Yield Sap Collection Practices,Tree species classification
"Michigan, USA",Not specified,Establishing sapling stocking targets for sustainable management,"44.31484, -85.60236",Sapling Stocking Targets for Multiple Management Goals in Northern Hardwood Forests: How Do Stands Measure Up?,Habitat degradation and biodiversity monitoring
Brazil,Remote sensing data,Forest fire risk assessment,"-23.550520, -46.633308",Forest fire risk indicator (FFRI) based on geoprocessing and multicriteria analysis,Forest fire monitoring and prevention
North American boreal forests,"Climate, lightning, fire and vegetation data",Assessing mechanisms contributing to large fire years,"64.2008, -149.4937",Lightning as a major driver of recent large fire years in North American boreal forests,Forest fire monitoring and prevention
Not specified,Not specified,Understanding species distributions of montane lizards,"-15.7801, -47.9292","Thermophysiology, microclimates, and species distributions of lizards in the mountains of the Brazilian Atlantic Forest",Habitat degradation and biodiversity monitoring
Not specified,Not specified,Evaluating the impact of silvopastoral management on tree growth and soil dynamics,Not specified,"Managing high quality timber plantations as silvopastoral systems: tree growth, soil water dynamics and nitrate leaching risk",Tree species classification
Brazil,Not specified,Support the conservation of an Atlantic Forest fragment,"-24.0089, -47.9555","Bryophytes of Rio Turvo State Park (SP), Brazil: integrating floristics, geographical distribution, reproduction and ecological traits to support the conservation of an Atlantic Forest fragment",Habitat degradation and biodiversity monitoring
"Tuxtla Gutierrez, Chiapas",Not specified,Urban tree health assessment,"16.75528, -93.11397","Tree alignment diagnosis of the city of Tuxtla Gutierrez, Chiapas",Habitat degradation and biodiversity monitoring
California,Remote sensing observations,Monitoring tree cover loss,"36.7783, -119.4179",Losses of Tree Cover in California Driven by Increasing Fire Disturbance and Climate Stress,Forest cover assessment
"Chattogram city, Bangladesh",Leaf samples and PM concentration data,Quantifying PM removal by urban trees,"22.3569, 91.7832","Quantifying the potential contribution of urban trees to particulate matters removal: A study in Chattogram city, Bangladesh",Canopy and biomass estimation
Brazil,Not specified,Monitoring biodiversity,"-14.2350, -51.9253",Bat assemblage at a high diversity locality in the Atlantic Forest,Habitat degradation and biodiversity monitoring
"Transcarpathia, Ukraine",Sample Plot Inventory,Characterizing demographic processes in primeval beech forests,"48.43834, 22.96787",Structural changes in a primeval beech forest at the landscape scale,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Monitoring seed rain in restored forests,Not specified,Forest Matrix Favors the Recovering of Seed Rain in Areas Undergoing Restoration,Habitat degradation and biodiversity monitoring
Not specified,Occurrence records,Assessing floristic consistency of vegetation types,"-38.4161, -63.6167",Patterns of tree composition in the southern cone of South America and its relevance to the biogeographic regionalization,Tree species classification
Not specified,Genetic data,Assessing genetic diversity and phylogeographic patterns,"-5.00000, -70.00000",Comparative phylogeography of five widespread tree species: Insights into the history of western Amazonia,Tree species classification
Peru,Not specified,Estimating carbon emissions,"-9.1900, -75.0152",Major carbon losses from degradation of Mauritia flexuosa peat swamp forests in western Amazonia,Habitat degradation and biodiversity monitoring
"Michigan, USA",Not specified,Avian biodiversity conservation,"46.58837, -84.77929",Combining conservation value with conservation filters to guide forest management for avian biodiversity,Habitat degradation and biodiversity monitoring
Colombia,Not specified,Seedling emergence evaluation,"4.570868, -74.297333","Seedling Emergence of the Tree Legume Clathrotropis brunnea Amshoff, Endemic from a Colombian Tropical Rainforest",Tree species classification
Brazil,Not specified,Evaluating evolutionary history and diversity patterns,"-14.2350, -51.9253",The evolutionary history of Eugenia sect. Phyllocalyx (Myrtaceae) corroborates historically stable areas in the southern Atlantic forests,Habitat degradation and biodiversity monitoring
Not specified,RGB images,Tree part segmentation,Not specified,Real-time guava tree-part segmentation using fully convolutional network with channel and spatial attention,Tree species classification
Tasmania,Tomographic profiles,Estimating tree heights,"-42.88059, 147.32543",UNVEILING THE COMPLEX STRUCTURE OF TASMANIAN TEMPERATE FORESTS WITH MODEL-BASED TANDEM-X TOMOGRAPHY,Canopy and biomass estimation
Northeast India,MODIS NDVI time series data,Extracting phenological variables,"26.2000, 93.6000",Vegetation Phenological Characterization of Alluvial Plain Shorea robusta-dominated Tropical Moist Deciduous Forest of Northeast India Using MODIS NDVI Time Series Data,Canopy and biomass estimation
"Middle Volga Region, European Russia",Not specified,Monitoring biodiversity,"54.00000, 46.00000",Diversity of Helminths of Insectivorous Mammals (Mammalia: Eulipothyphla) from Large Forest Protected Areas of the Middle Volga Region (European Russia),Habitat degradation and biodiversity monitoring
UK,Lidar data,Tracking forest fire smoke,"55.37805, -3.43597",Transport of Canadian forest fire smoke over the UK as observed by lidar,Forest fire monitoring and prevention
Southern China,Remotely sensed products,Evaluating the impacts of seasonal drought and warming on net primary productivity,"26.89615, 112.57880",Simulating the Impacts of Drought and Warming in Summer and Autumn on the Productivity of Subtropical Coniferous Forests,Canopy and biomass estimation
Not specified,Not specified,Understanding ecological and genetic differentiation between butterfly habitats,"-1.5, -78.5",Vertical differentiation in tropical forest butterflies: a novel mechanism generating insect diversity?,Habitat degradation and biodiversity monitoring
Brazil,Stable isotopes,Understanding dietary niche expansion of frugivores in fragmented forests,"-14.2350, -51.9253",Dietary expansion facilitates the persistence of a large frugivore in fragmented tropical forests,Habitat degradation and biodiversity monitoring
Rwanda,Bird occurrence data,Monitoring biodiversity and habitat quality,"-2.60211, 29.25936",Assessing tropical forest restoration after fire using birds as indicators: An afrotropical case study,Habitat degradation and biodiversity monitoring
Southern South America,Occurrence records,Tree species distribution patterns,"-34.0000, -58.0000",Patterns of tree species variation across southern South America are shaped by environmental factors and historical processes,Tree species classification
"Bari, Italy",Not specified,Demonstrating the economic convenience of producing energy from biomass,"41.11714, 16.87187",A tri-generation plant fuelled with olive tree pruning residues in Apulia: An energetic and economic analysis,Other
Venezuela,Not specified,Monitoring plant reproductive phenology,"8.00389, -64.40481",Extreme drought disrupts plant phenology: Insights from 35 years of cloud forest data in Venezuela,Habitat degradation and biodiversity monitoring
South-western United States,Historical aerial photography and dendrochronology,Monitoring non-native tree invasion,"37.000000, -113.000000",The role of a non-native tree in riparian vegetation expansion and channel narrowing along a dryland river,Habitat degradation and biodiversity monitoring
"Veracruz, Mexico",Not specified,Investigating the palm community distribution,"18.40247, -95.03468",LANDSCAPE HETEROGENEITY DRIVES SPATIAL DISTRIBUTION OF PALM COMMUNITY IN A NEOTROPICAL RAINFOREST RESERVE AFFECTED BY DEFAUNATION,Habitat degradation and biodiversity monitoring
"Madhya Pradesh, Central India",Not specified,Informing conservation and restoration practices,"22.9734, 78.6569",Phylogenetic community patterns suggest Central Indian tropical dry forests are structured by montane climate refuges,Habitat degradation and biodiversity monitoring
Ukraine,Not specified,Evaluating and modifying a classification protocol for delineating development phases of the beech forest life cycle,"48.29817, 22.23976",Validation of a classification protocol: meeting the prospect requirement and ensuring distinctiveness when assigning forest development phases,Forest cover assessment
Not specified,Not specified,Understanding and managing forest decline syndromes,Not specified,Anthropogenic Disturbances and the Emergence of Native Diseases: a Threat to Forest Health,Habitat degradation and biodiversity monitoring
Central Mexico,Not specified,Estimating biomass,"20.593684, -100.392128",Allometric relationships to estimate aboveground biomass of species in a tropical dry forest of Central Mexico,Canopy and biomass estimation
Northeastern USA,Occupancy probability maps,Estimating landscape carrying capacity for Ovenbirds,"40.7128, -74.0060",Predicting effects of future development on a territorial forest songbird: methodology matters,Habitat degradation and biodiversity monitoring
Krasnoyarsk Krai,Forest pathological examination,Studying the incidence of Scots pine blister rust and red ring rot,"56.0072, 92.8935",Influence of Forest Conditions on the Spread of Scots Pine Blister Rust and Red Ring Rot in the Priangarye Pine Stands,Habitat degradation and biodiversity monitoring
Northeast China,Height measurements,Estimating top height,"45.75548, 126.63631","The effect of the calculation method, plot size, and stand density on the top height estimation in natural spruce-fir-broadleaf mixed forests",Canopy and biomass estimation
Japan,Remote sensing data,Estimating above-ground biomass,"36.2048, 138.2529",Synthesis of L-Band SAR and Forest Heights Derived from TanDEM-X DEM and 3 Digital Terrain Models for Biomass Mapping,Canopy and biomass estimation
Southeastern Baikal Region,Remote sensing,Monitoring postfire ecosystem development,"51.8083, 104.3000",Postfire Evolution of Forest Ecosystems on Sandy Terraces in the Southeastern Baikal Region,Habitat degradation and biodiversity monitoring
Spain,Lidar and Landsat imagery,High resolution forest inventory,"40.46367, -3.74922","High resolution forest inventory of pure and mixed stands at regional level combining National Forest Inventory field plots, Landsat, and low density lidar",Forest cover assessment
Not specified,Not specified,Understanding the interaction between fire severity and ungulate herbivory on forest regeneration,Not specified,Fire severity and ungulate herbivory shape forest regeneration and recruitment after a large mixed-severity wildfire,Forest fire monitoring and prevention
Central India,Satellite imagery,Estimating above-ground biomass,"22.4598, 78.3284",Effect of vegetation structure on above ground biomass in tropical deciduous forests of Central India,Canopy and biomass estimation
Comunitat Valenciana,Hyperspectral images,Decay detection in Pinus halepensis,"39.46667, -0.37500",Using hipersepctral images for decay detection in Pinus halepensis (Mill.) in the Mediterranean forest,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Understanding tree defense response to water limitation,"53.7267, -113.3191","The Effect of Water Limitation on Volatile Emission, Tree Defense Response, and Brood Success of Dendroctonus ponderosae in Two Pine Hosts, Lodgepole, and Jack Pine",Tree species classification
Brazil,Not specified,Understanding the growth-survival trade-off in tropical forests,"-14.2350, -51.9253",Drivers of the growth-survival trade-off in a tropical forest,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Examining the effects of forest disturbance on functional and phylogenetic diversity of arboreal ants,Not specified,Forest disturbance increases functional diversity but decreases phylogenetic diversity of an arboreal tropical ant community,Habitat degradation and biodiversity monitoring
